City,Lat,Lon,,,,
NEW YORK NY,40.6943,-73.9249,,,,
CHICAGO IL,41.8375,-87.6866,,,,
LOS ANGELES CA,34.1141,-118.4068,,,,
MIAMI FL,25.7840,-80.2101,,,,
SILICON VALLEY,37.3875,-122.0575,,,,
ORANGE COUNTY,33.7175,-117.8311,,,,
SAN DIEGO CA,32.8313,-117.1222,,,,
PHOENIX AZ,33.5722,-112.0892,,,,
DALLAS TX,32.7935,-96.7667,,,,
ATLANTA GA,33.7628,-84.4220,,,,
DENVER CO,39.7620,-104.8758,,,,
AUSTIN TX,30.3005,-97.7522,,,,
SEATTLE WA,47.6211,-122.3244,,,,
TUCSON AZ,32.1541,-110.8787,,,,
SAN FRANCISCO CA,37.7558,-122.4449,,,,
SACRAMENTO CA,38.5677,-121.4685,,,,
PITTSBURGH PA,40.4397,-79.9763,,,,
WASHINGTON DC,38.9047,-77.0163,,,,
NASHVILLE TN,36.1715,-86.7842,,,,
BOSTON MA,42.3188,-71.0852,,,,